Document	Subdoc	WordId	WordForm	ChangedAttrib	NewValue	OldValue	Relevant
0085-006	61-65	14	μεταιχμίῳ	postag	a-s---nd-	n-s---nd-	
0085-006	61-65	19	[βρύει]	relation	PRED_CO	UNDEFINED	
0085-006	61-65	19	[βρύει]	head	22	0	
0085-006	61-65	21	τοὺς	postag	l-p---ma-	p-p---ma-	
0085-006	61-65	22	δ’	postag	b--------	g--------	
0085-006	68-70	2	δ’	postag	d--------	g--------	
0085-006	68-70	2	δ’	relation	AuxY	COORD	
0085-006	68-70	2	δ’	head	4	0	
0085-006	68-70	4	διαφέρει	relation	PRED	PRED_CO	
0085-006	68-70	4	διαφέρει	head	0	2	
0085-006	71-74	2	δ’	postag	d--------	g--------	
0085-006	71-74	9	τε	postag	b--------	g--------	
0085-006	71-74	12	μιᾶς	postag	m-s---fg-	a-s---fg-	
0085-006	71-74	13	ὁδοῦ	postag	n-s---fg-	n-s---mg-	
0085-006	71-74	23	[0]	lemma	_	/	
0085-006	75-76	1	ἐμοὶ	postag	p1s---cd-	p-s---md-	
0085-006	75-76	2	δ’	postag	d--------	g--------	
0085-006	75-76	5	γὰρ	postag	d--------	g--------	
0085-006	75-76	8	προσήνεγκαν	relation	ExD	PRED_PA	
0085-006	75-76	10	[0]	lemma	_	/	
0085-006	76-81	3	γὰρ	postag	d--------	g--------	
0085-006	76-81	7	μ’	postag	p1s---ca-	p-s---fa-	
0085-006	76-81	8	ἐσᾶγον	relation	ExD	PRED_PA	
0085-006	76-81	8	ἐσᾶγον	head	24	0	
0085-006	76-81	10	]-	postag	u--------	---------	
0085-006	76-81	11	δίκαια	relation	OBJ_CO	OBJ_AP_CO	
0085-006	76-81	12	καὶ	postag	b--------	c--------	
0085-006	76-81	12	καὶ	head	19	24	
0085-006	76-81	13	μὴ	postag	d--------	c--------	
0085-006	76-81	14	δίκαια	relation	OBJ_CO	OBJ_AP_CO	
0085-006	76-81	15	ἀρχὰς	relation	APOS	OBJ_AP	
0085-006	76-81	15	ἀρχὰς	head	12	24	
0085-006	76-81	16	πρέπον	head	12	24	
0085-006	76-81	19	αἰνέσαι	head	12	24	
0085-006	82-83b	1	δακρύω	relation	PRED	PRED_CO	
0085-006	82-83b	1	δακρύω	head	0	2	
0085-006	82-83b	2	δ’	postag	d--------	g--------	
0085-006	82-83b	2	δ’	relation	AuxY	PRED	
0085-006	82-83b	2	δ’	head	1	0	
0085-006	84-86	11	ἐμοὶ	postag	p1s---cd-	p-s---fd-	
0085-006	84-86	12	πομποί	relation	ADV	AtvV	
0085-006	87	2	φῶ	postag	v1spsa---	v1s-sa---	
0085-006	88	3	εἴπω	lemma	λέγω	εἶπον	
0085-006	89-90	1	πότερα	lemma	πότερον	πότερος	
0085-006	89-90	1	πότερα	postag	d--------	a-p---na-	
0085-006	89-90	3	παρὰ	head	6	9	
0085-006	89-90	7	γυναικὸς	relation	OBJ	OBJ_AP	
0085-006	89-90	9	,	relation	AuxX	APOS	
0085-006	89-90	9	,	head	0	6	
0085-006	89-90	12	μητρὸς	relation	APOS	OBJ_AP	
0085-006	89-90	13	πάρα	head	7	9	
0085-006	89-90	15	[0]	lemma	_	/	
0085-006	91-92	6	οὐ	postag	d--------	g--------	
0085-006	91-92	7	δ’	postag	b--------	g--------	
0085-006	91-92	7	δ’	relation	COORD	PRED	
0085-006	91-92	10	φῶ	postag	v1spsa---	v1s-sa---	
0085-006	93-95	1	ἢ	postag	b--------	c--------	
0085-006	93-95	1	ἢ	relation	AuxY	COORD	
0085-006	93-95	1	ἢ	head	3	0	
0085-006	93-95	2	τοῦτο	postag	p-s---na-	a-s---na-	
0085-006	93-95	3	φάσκω	relation	PRED	PRED_CO	
0085-006	93-95	3	φάσκω	head	0	1	
0085-006	93-95	4	τοὔπος	relation	OBJ	OBJ_AP	
0085-006	93-95	4	τοὔπος	head	3	9	
0085-006	93-95	6	ὡς	postag	c--------	d--------	
0085-006	93-95	9	,	relation	AuxX	APOS	
0085-006	93-95	9	,	head	0	3	
0085-006	93-95	10	ἔσθλ’	relation	OBJ	OBJ_AP	
0085-006	93-95	10	ἔσθλ’	head	11	16	
0085-006	93-95	11	ἀντιδοῦναι	relation	APOS	OBJ_AP	
0085-006	93-95	11	ἀντιδοῦναι	head	4	9	
0085-006	93-95	16	,	relation	AuxX	APOS	
0085-006	93-95	16	,	head	0	11	
0085-006	93-95	17	δόσιν	relation	APOS	OBJ_AP	
0085-006	93-95	17	δόσιν	head	10	16	
0085-006	93-95	18	γε	postag	d--------	g--------	
0085-006	93-95	23	[0]	lemma	_	/	
0085-006	96-99	1	ἢ	postag	b--------	c--------	
0085-006	96-99	1	ἢ	relation	AuxY	COORD	
0085-006	96-99	1	ἢ	head	16	0	
0085-006	96-99	5	ὥσπερ	postag	c--------	d--------	
0085-006	96-99	6	οὖν	postag	d--------	g--------	
0085-006	96-99	6	οὖν	relation	AuxY	AuxZ	
0085-006	96-99	7	ἀπώλετο	postag	v3saim---	v3sai----	
0085-006	96-99	10	τάδ’	relation	OBJ	OBJ_AP	
0085-006	96-99	10	τάδ’	head	11	12	
0085-006	96-99	12	,	relation	AuxX	APOS	
0085-006	96-99	12	,	head	0	11	
0085-006	96-99	14	χύσιν	relation	APOS	OBJ_AP	
0085-006	96-99	14	χύσιν	head	10	12	
0085-006	96-99	16	στείχω	relation	PRED	PRED_CO	
0085-006	96-99	16	στείχω	head	0	1	
0085-006	96-99	18	ὥς	postag	c--------	d--------	
0085-006	96-99	19	τις	postag	p-s---cn-	p-s---mn-	
0085-006	96-99	22	δικοῦσα	lemma	δικέω	δικεῖν	
0085-006	96-99	27	[0]	lemma	_	/	
0085-006	100	3	βουλῆς	relation	ADV	ATR	
0085-006	101	2	γὰρ	postag	d--------	g--------	
0085-006	102	1	μὴ	postag	d--------	c--------	
0085-006	102	6	τινός	postag	p-s---cg-	p-s---mg-	
0085-006	103-104	3	γὰρ	postag	d--------	g--------	
0085-006	103-104	5	τ’	postag	b--------	g--------	
0085-006	103-104	8	καὶ	postag	b--------	c--------	
0085-006	103-104	11	ἄλλης	postag	p-s---fg-	a-s---fg-	
0085-006	105	2	ἄν	postag	d--------	g--------	
0085-006	105	8	ὑπέρτερον	lemma	ὑπέρ	ὑπέρτερος	
0085-006	105	8	ὑπέρτερον	postag	a-s---nac	a-s---na-	
0085-006	106-107	2	σοι	postag	p2s---cd-	p-s---fd-	
0085-006	106-107	4	ὡς	postag	c--------	d--------	
0085-006	106-107	9	κελεύεις	relation	ExD	PRED_PA	
0085-006	106-107	10	γάρ	postag	d--------	g--------	
0085-006	106-107	17	[0]	lemma	_	/	
0085-006	108	2	ἄν	postag	d--------	g--------	
0085-006	108	4	ὥσπερ	postag	c--------	d--------	
0085-006	109	4	τοῖσιν	postag	l-p---md-	p-p---md-	
0085-006	110	1	τίνας	postag	p-p---ca-	a-p---ma-	
0085-006	110	2	δὲ	postag	d--------	g--------	
0085-006	110	2	δὲ	relation	AuxY	COORD	
0085-006	110	2	δὲ	head	6	0	
0085-006	110	3	τούτους	postag	p-p---ma-	a-p---ma-	
0085-006	110	6	προσεννέπω	relation	PRED	PRED_CO	
0085-006	110	6	προσεννέπω	head	0	2	
0085-006	111	1	πρῶτον	relation	ADV	AuxY	
0085-006	111	2	μὲν	postag	d--------	g--------	
0085-006	111	3	αὑτὴν	postag	p-s---fa-	a-s---fa-	
0085-006	111	4	χὤστις	lemma	καί	ὅστις	
0085-006	111	4	χὤστις	postag	b--------	p-s---mn-	
0085-006	111	8	[0]	lemma	_	/	
0085-006	112	1	ἐμοί	postag	p1s---cd-	p-s---fd-	
0085-006	112	2	τε	postag	b--------	g--------	
0085-006	112	3	καὶ	postag	b--------	c--------	
0085-006	112	4	σοί	postag	p2s---cd-	p-s---fd-	
0085-006	112	5	τἄρ’	postag	d--------	g--------	
0085-006	113	1	αὐτὴ	postag	p-s---fn-	a-s---fn-	
0085-006	113	1	αὐτὴ	relation	ADV	AtvV	
0085-006	113	2	σὺ	postag	p2s---cn-	p-s---fn-	
0085-006	113	3	ταῦτα	postag	p-p---na-	a-p---na-	
0085-006	113	6	φράσαι	postag	v2samm---	v2sam----	
0085-006	114	1	τίν’	postag	p-s---ca-	p-s---ma-	
0085-006	114	2	οὖν	postag	d--------	g--------	
0085-006	114	2	οὖν	relation	AuxY	AuxZ	
0085-006	114	3	ἔτ’	relation	ADV	AuxZ	
0085-006	114	4	ἄλλον	postag	p-s---ma-	a-s---ma-	
0085-006	115	1	μέμνησ’	lemma	μιμνῄσκω	μιμνήσκω	
0085-006	115	6	ἐσθ’	head	4	1	
0085-006	116	2	τοῦτο	postag	p-s---nn-	a-s---nn-	
0085-006	116	6	ἥκιστά	lemma	ἦκα	ἥκιστος	
0085-006	116	6	ἥκιστά	postag	a-p---nas	a-p---na-	
0085-006	116	7	με	postag	p1s---ca-	p-s---fa-	
0085-006	116	9	[0]	lemma	_	/	
0085-006	117	5	φόνου	relation	ADV	ATR	
0085-006	117	6	μεμνημένη	lemma	μιμνῄσκω	μιμνήσκω	
0085-006	117	8	[0]	lemma	_	/	
0085-006	118	2	φῶ	postag	v1spsa---	v1s-sa---	
0085-006	119	2	τιν’	postag	p-s---ca-	p-s---ma-	
0085-006	119	3	αὐτοῖς	postag	p-p---md-	a-p---md-	
0085-006	119	5	ἢ	postag	b--------	c--------	
0085-006	119	7	τινα	postag	p-s---ca-	p-s---ma-	
0085-006	119	9	[0]	lemma	_	/	
0085-006	120	1	πότερα	lemma	πότερον	πότερος	
0085-006	120	1	πότερα	postag	d--------	a-p---na-	
0085-006	120	3	ἢ	postag	b--------	c--------	
0085-006	121	2	τι	relation	ADV	AuxZ	
0085-006	121	8	[0]	lemma	_	/	
0085-006	122	1	καὶ	postag	d--------	c--------	
0085-006	122	2	ταῦτά	postag	p-p---nn-	a-p---nn-	
0085-006	123	2	δ’	postag	d--------	g--------	
0085-006	123	9	[0]	lemma	_	/	
0085-006	124-128	1	κῆρυξ	relation	ExD	ExD_AP	
0085-006	124-128	1	κῆρυξ	head	9	10	
0085-006	124-128	2	μέγιστε	postag	a-s---mvs	a-s---mv-	
0085-006	124-128	4	ἄνω	relation	ATR_CO	ATR	
0085-006	124-128	5	τε	postag	b--------	g--------	
0085-006	124-128	6	καὶ	postag	b--------	c--------	
0085-006	124-128	7	κάτω	relation	ATR_CO	ATR	
0085-006	124-128	10	,	relation	AuxX	APOS	
0085-006	124-128	10	,	head	0	9	
0085-006	124-128	11	Ἑρμῆ	relation	APOS	ExD_AP	
0085-006	124-128	11	Ἑρμῆ	head	1	10	
0085-006	124-128	13	,	head	1	10	
0085-006	124-128	14	κηρύξας	postag	v-sapamn-	v-sapamv-	
0085-006	124-128	15	ἐμοὶ	postag	p1s---cd-	p-s---fd-	
0085-006	124-128	19	δαίμονας	postag	n-p---ma-	n-p---fa-	
0085-006	124-128	19	δαίμονας	relation	OBJ_CO	OBJ_AP_CO	
0085-006	124-128	19	δαίμονας	head	28	23	
0085-006	124-128	23	,	relation	AuxX	APOS	
0085-006	124-128	23	,	head	0	28	
0085-006	124-128	26	ἐπισκόπους	postag	a-p---ma-	n-p---ma-	
0085-006	124-128	26	ἐπισκόπους	relation	APOS	OBJ_AP_CO	
0085-006	124-128	26	ἐπισκόπους	head	19	23	
0085-006	124-128	27	,	head	19	23	
0085-006	124-128	28	καὶ	postag	b--------	c--------	
0085-006	124-128	29	γαῖαν	form	γαῖαν	Γαῖαν	
0085-006	124-128	29	γαῖαν	lemma	γῆ	γαῖα	
0085-006	124-128	30	αὐτήν	postag	p-s---fa-	a-s---fa-	
0085-006	124-128	38	τ’	postag	b--------	g--------	
0085-006	129-131	1	κἀγὼ	postag	p1s---cn-	p-s---fn-	
0085-006	129-131	12	τ’	postag	b--------	g--------	
0085-006	129-131	13	ἐμὲ	postag	p1s---ca-	p-s---fa-	
0085-006	129-131	15	τ’	postag	b--------	g--------	
0085-006	129-131	16	ὀρέστην	form	ὀρέστην	Ὀρέστην	
0085-006	132-134	1	πεπραμένοι	relation	ADV	AtvV	
0085-006	132-134	2	γὰρ	postag	d--------	g--------	
0085-006	132-134	4	γέ	postag	d--------	g--------	
0085-006	132-134	5	πως	postag	d--------	g--------	
0085-006	132-134	11	ἄνδρα	relation	ADV	ATV	
0085-006	132-134	12	δ’	postag	b--------	g--------	
0085-006	132-134	14	Αἴγισθον	lemma	Αἴγισθος	αἴγισθος	
0085-006	132-134	16	ὅσπερ	lemma	ὅσπερ	ὅς	
0085-006	132-134	17	σοῦ	postag	p2s---cg-	p-s---mg-	
0085-006	132-134	18	φόνου	relation	ADV	ATR	
0085-006	132-134	21	[0]	lemma	_	/	
0085-006	135	1	κἀγὼ	postag	p1s---cn-	p-s---fn-	
0085-006	135	2	μὲν	postag	d--------	g--------	
0085-006	135	5	[0]	lemma	_	/	
0085-006	135	5	[0]	relation	PRED	PRED_CO	
0085-006	135-137	2	δὲ	postag	d--------	g--------	
0085-006	135-137	8	οἱ	postag	l-p---mn-	p-p---mn-	
0085-006	135-137	9	δ’	postag	b--------	g--------	
0085-006	135-137	12	τοῖσι	postag	l-p---md-	p-p---md-	
0085-006	138-139	2	δ’	postag	d--------	g--------	
0085-006	138-139	3	ὀρέστην	form	ὀρέστην	Ὀρέστην	
0085-006	138-139	7	τινὶ	postag	p-s---cd-	p-s---fd-	
0085-006	138-139	9	σοι	postag	p2s---cd-	p-s---md-	
0085-006	138-139	11	καὶ	postag	b--------	c--------	
0085-006	138-139	12	σὺ	postag	p2s---cn-	p-s---mn-	
0085-006	138-139	12	σὺ	relation	ExD	ExD_AP	
0085-006	138-139	12	σὺ	head	13	15	
0085-006	138-139	14	μου	postag	p1s---cg-	p-s---fg-	
0085-006	138-139	15	,	relation	AuxX	APOS	
0085-006	138-139	15	,	head	0	13	
0085-006	138-139	16	πάτερ	relation	APOS	ExD_AP	
0085-006	138-139	16	πάτερ	head	12	15	
0085-006	140-141	1	αὐτῇ	postag	p-s---fd-	a-s---fd-	
0085-006	140-141	1	αὐτῇ	relation	ADV	ATV	
0085-006	140-141	2	τέ	postag	b--------	g--------	
0085-006	140-141	2	τέ	relation	AuxY	COORD	
0085-006	140-141	2	τέ	head	4	0	
0085-006	140-141	3	μοι	postag	p1s---cd-	p-s---fd-	
0085-006	140-141	4	δὸς	relation	PRED	PRED_CO	
0085-006	140-141	4	δὸς	head	0	2	
0085-006	140-141	6	πολὺ	relation	ADV	AuxZ	
0085-006	140-141	8	γενέσθαι	postag	v--anm---	v--an----	
0085-006	140-141	10	τ’	postag	b--------	g--------	
0085-006	142-144	1	ἡμῖν	postag	p1p---cd-	p-p---md-	
0085-006	142-144	2	μὲν	postag	d--------	g--------	
0085-006	142-144	7	δ’	postag	b--------	g--------	
0085-006	142-144	11	σου	postag	p2s---cg-	p-s---mg-	
0085-006	142-144	17	καὶ	postag	b--------	c--------	
0085-006	142-144	20	ἀντικατθανεῖν	lemma	ἀντικαταθνῄσκω	ἀντικαταθνήσκω	
0085-006	142-144	23	[0]	lemma	_	/	
0085-006	145-146	1	ταῦτ’	postag	p-p---na-	a-p---na-	
0085-006	145-146	9	κείνοις	postag	p-p---md-	a-p---md-	
0085-006	147-148	1	ἡμῖν	postag	p1p---cd-	p-p---md-	
0085-006	147-148	2	δὲ	postag	d--------	g--------	
0085-006	147-148	11	καὶ	postag	b--------	c--------	
0085-006	147-148	13	καὶ	postag	b--------	c--------	
0085-006	150-151	1	ὑμᾶς	postag	p2p---ca-	p-p---fa-	
0085-006	150-151	2	δὲ	postag	d--------	g--------	
0085-006	150-151	8	τοῦ	postag	p-s---cg-	p-s----g-	
0085-006	150-151	9	θανόντος	lemma	θνῄσκω	θνήσκω	
0085-006	150-151	12	[0]	lemma	_	/	
0085-006	152-156	8	ἔρυμα	relation	OBJ	OBJ_AP	
0085-006	152-156	8	ἔρυμα	head	7	13	
0085-006	152-156	11	,	head	8	13	
0085-006	152-156	13	τ’	postag	b--------	g--------	
0085-006	152-156	13	τ’	relation	AuxY	APOS	
0085-006	152-156	13	τ’	head	0	7	
0085-006	152-156	14	ἀπότροπον	relation	APOS	OBJ_AP	
0085-006	152-156	14	ἀπότροπον	head	8	13	
0085-006		1	κλύε	relation	APOS	MWE	
0085-006		3	ἴτω	lemma	ἔρχομαι	εἶμι	
0085-006	164	2	μὲν	postag	d--------	g--------	
0085-006	165	2	δὲ	postag	d--------	g--------	
0085-006	165	5	κοινωνήσατε	postag	v2pama---	v2paia---	
0085-006	166	2	ἄν	postag	d--------	g--------	
0085-006	166	2	δὲ	postag	d--------	g--------	
0085-006	168	1	τίνος	postag	p-s---cg-	a-s---mg-	
0085-006	168	2	ποτ’	postag	d--------	g--------	
0085-006	168	2	ποτ’	relation	ADV	AuxZ	
0085-006	168	5	ἢ	postag	b--------	c--------	
0085-006	168	9	[0]	lemma	_	/	
0085-006	171	2	οὖν	postag	d--------	g--------	
0085-006	171	2	οὖν	relation	AuxY	AuxZ	
0085-006	171	4	[0]	lemma	_	/	
0085-006	172	5	ἐμοῦ	postag	p1s---cg-	p-s---fg-	
0085-006	173	2	γὰρ	postag	d--------	g--------	
0085-006	173	8	[0]	lemma	_	/	
0085-006	174	1	καὶ	postag	d--------	c--------	
0085-006	174	1	καὶ	relation	AuxY	COORD	
0085-006	174	1	καὶ	head	4	0	
0085-006	174	2	μὴν	postag	d--------	g--------	
0085-006	174	4	ἐστὶ	relation	PRED	PRED_CO	
0085-006	174	4	ἐστὶ	head	0	1	
0085-006	174	6	ἰδεῖν	lemma	ὁράω	εἶδον	
0085-006	175	1	ποίαις	postag	p-p---fd-	a-p---fd-	
0085-006	175	4	[0]	lemma	_	/	
0085-006	175	2	γὰρ	postag	d--------	g--------	
0085-006	176	1	αὐτοῖσιν	postag	p-p---md-	a-p---md-	
0085-006	176	2	ἡμῖν	postag	p1p---cd-	p-p---md-	
0085-006	176	3	κάρτα	relation	ADV	AuxY	
0085-006	176	5	ἰδεῖν	lemma	ὁράω	εἶδον	
0085-006	176	7	[0]	lemma	_	/	
0085-006	177	2	οὖν	postag	d--------	g--------	
0085-006	177	2	οὖν	relation	AuxY	AuxZ	
0085-006	177	2	οὖν	head	6	1	
0085-006	178	1	μάλιστ’	lemma	μάλα	μάλιστα	
0085-006	178	1	μάλιστ’	postag	d-------s	d--------	
0085-006	178	1	μάλιστ’	relation	ADV	AuxZ	
0085-006	178	2	ἐκείνου	postag	p-s---mg-	a-s---mg-	
0085-006	179	1	καὶ	postag	d--------	c--------	
0085-006	179	3	ἐκεῖνος	postag	p-s---mn-	a-s---mn-	
0085-006	180	4	χάριν	lemma	χάριν	χάρις	
0085-006	180	4	χάριν	postag	r--------	n-s---fa-	
0085-006	180	4	χάριν	relation	ADV	ATV	
0085-006	180	4	χάριν	head	1	2	
0085-006	180	5	πατρός	relation	ADV	ATR	
0085-006	181-182	4	μοι	postag	p1s---cd-	p-s---fd-	
0085-006	183-184	1	κἀμοὶ	postag	p1s---cd-	p-s---fd-	
0085-006	183-184	8	δ’	postag	b--------	g--------	
0085-006	183-184	9	ὡς	postag	c--------	d--------	
0085-006	183-184	13	[0]	lemma	_	/	
0085-006	185-187	3	δὲ	postag	b--------	g--------	
0085-006	185-187	3	δὲ	relation	AuxY	COORD	
0085-006	185-187	3	δὲ	head	5	0	
0085-006	185-187	5	πίπτουσί	relation	PRED	PRED_CO	
0085-006	185-187	5	πίπτουσί	head	0	3	
0085-006	185-187	6	μοι	postag	p1s---cd-	p-s---fd-	
0085-006	185-187	13	ἰδούσῃ	lemma	ὁράω	εἶδον	
0085-006	187-188	2	γὰρ	postag	d--------	g--------	
0085-006	187-188	5	τιν’	postag	p-s---ca-	p-s---ma-	
0085-006	187-188	6	ἄλλον	postag	p-s---ma-	a-s---ma-	
0085-006	189-191	2	οὐ	postag	d--------	g--------	
0085-006	189-191	3	δὲ	postag	b--------	g--------	
0085-006	189-191	3	δὲ	relation	AuxY	AuxZ	
0085-006	189-191	4	μήν	postag	d--------	g--------	
0085-006	189-191	4	μήν	head	8	1	
0085-006	189-191	7	κτανοῦσ’	relation	SBJ	SBJ_AP	
0085-006	189-191	7	κτανοῦσ’	head	8	11	
0085-006	189-191	9	,	head	7	11	
0085-006	189-191	11	δὲ	postag	b--------	g--------	
0085-006	189-191	11	δὲ	relation	AuxY	APOS	
0085-006	189-191	11	δὲ	head	0	8	
0085-006	189-191	12	μήτηρ	relation	APOS	SBJ_AP	
